size;shuffle_rate;pivot_function;experiment;time
100000000;0.25;quickselect_median;0;388.828125
100000000;0.25;quickselect_median;1;390.65625
100000000;0.25;quickselect_median;2;402.515625
100000000;0.25;quickselect_median;3;399.65625
100000000;0.25;quickselect_median;4;419.1875
100000000;0.25;quickselect_median;5;400.96875
100000000;0.25;quickselect_median;6;397.828125
100000000;0.25;quickselect_median;7;392.703125
100000000;0.25;quickselect_median;8;389.234375
100000000;0.25;quickselect_median;9;388.484375
